-----------------------------------------------------------------------
| p                                                           | count |
=======================================================================
| <http://schema.org/Store/url>                               | 7     |
| <http://purl.org/rss/1.0/modules/content/encoded>           | 7     |
| <http://schema.org/AggregateRating/reviewCount>             | 7     |
| <http://schema.org/Restaurant/url>                          | 7     |
| <http://schema.org/LodgingBusiness/image>                   | 17    |
| <http://schema.org/CivicStructure/address>                  | 10    |
| <http://www.w3.org/2002/12/cal/icaltzd#dtstart>             | 1005  |
| <http://data-vocabulary.org/Breadcrumb/title>               | 221   |
| <http://schema.org/AutomotiveBusiness/url>                  | 2     |
| <http://schema.org/Person/description>                      | 11    |
| <http://schema.org/Landform/additionalType>                 | 4     |
| <http://schema.org/Organization/address>                    | 11    |
| <http://www.w3.org/2006/vcard/ns#addressType>               | 1027  |
| <http://schema.org/Organization/url>                        | 6     |
| <http://schema.org/ImageObject/url>                         | 14    |
| <http://schema.org/ListItem/item>                           | 188   |
| <http://schema.org/Event/geo>                               | 5     |
| <http://schema.org/EducationalOrganization/logo>            | 1     |
| <http://schema.org/LocalBusiness/name>                      | 43    |
| <http://schema.org/AutomotiveBusiness/name>                 | 2     |
| <http://schema.org/Country/name>                            | 4     |
| <http://schema.org/ProfessionalService/name>                | 2     |
| <http://purl.org/dc/terms/date>                             | 2     |
| <http://schema.org/Airport/additionalType>                  | 32    |
| <http://schema.org/CafeOrCoffeeShop/url>                    | 1     |
| <http://schema.org/City/address>                            | 10    |
| <http://www.w3.org/2004/02/skos/core#prefLabel>             | 7     |
| <http://schema.org/CafeOrCoffeeShop/aggregateRating>        | 1     |
| <http://schema.org/PostalAddress/faxNumber>                 | 2     |
| <http://schema.org/Landform/image>                          | 25    |
| <http://schema.org/Landform/photos>                         | 1     |
| <http://schema.org/Landform/address>                        | 1     |
| <http://schema.org/Corporation/description>                 | 1     |
| <http://schema.org/PostalAddress/telephone>                 | 4     |
| <http://schema.org/Landform/geo>                            | 1     |
| <http://schema.org/AggregateRating/bestRating>              | 7     |
| <http://schema.org/Airport/photo>                           | 2     |
| <http://schema.org/TouristAttraction/url>                   | 2     |
| <http://schema.org/BarOrPub/address>                        | 1     |
| <http://schema.org/Continent/image>                         | 17    |
| <http://schema.org/LodgingBusiness/description>             | 7     |
| <http://www.w3.org/2006/vcard/ns#extended-address>          | 2     |
| <http://schema.org/Hotel/image>                             | 36    |
| <http://www.w3.org/2006/vcard/ns#latitude>                  | 516   |
| <http://www.w3.org/2006/vcard/ns#family-name>               | 1632  |
| <http://schema.org/Hotel/geo>                               | 16    |
| <http://ogp.me/ns#url>                                      | 3     |
| <http://schema.org/State/image>                             | 36    |
| <http://ogp.me/ns/fb#app_id>                                | 9     |
| <http://schema.org/Airport/url>                             | 26    |
| <http://purl.org/stuff/rev#rating>                          | 2     |
| <http://ogp.me/ns#image>                                    | 3     |
| <http://schema.org/Event/image>                             | 14    |
| <http://schema.org/TouristAttraction/name>                  | 2     |
| <http://www.w3.org/2002/12/cal/icaltzd#summary>             | 1000  |
| <http://schema.org/Hotel/name>                              | 14    |
| <http://schema.org/Event/url>                               | 9     |
