-----------------------------------------------------------------------------
| p                                                                 | count |
=============================================================================
| <http://schema.org/Store/url>                                     | 8     |
| <http://purl.org/rss/1.0/modules/content/encoded>                 | 13    |
| <http://schema.org/AggregateRating/reviewCount>                   | 4     |
| <http://schema.org/LocalBusiness/streetAddress>                   | 4     |
| <http://schema.org/TrainStation/name>                             | 2     |
| <http://schema.org/Restaurant/url>                                | 5     |
| <http://schema.org/LodgingBusiness/image>                         | 8     |
| <http://schema.org/CivicStructure/address>                        | 1     |
| <http://www.w3.org/2002/12/cal/icaltzd#dtstart>                   | 494   |
| <http://data-vocabulary.org/Breadcrumb/title>                     | 316   |
| <http://schema.org/AutomotiveBusiness/url>                        | 3     |
| <http://schema.org/Person/description>                            | 14    |
| <http://schema.org/Landform/additionalType>                       | 4     |
| <http://schema.org/Organization/address>                          | 4     |
| <http://www.w3.org/2006/vcard/ns#addressType>                     | 116   |
| <http://schema.org/Organization/url>                              | 3     |
| <http://schema.org/ListItem/position>                             | 31    |
| <http://schema.org/ImageObject/url>                               | 21    |
| <http://schema.org/ListItem/item>                                 | 231   |
| <http://schema.org/Event/geo>                                     | 15    |
| <http://schema.org/EducationalOrganization/logo>                  | 2     |
| <http://schema.org/LocalBusiness/name>                            | 43    |
| <http://schema.org/AutomotiveBusiness/name>                       | 3     |
| <http://schema.org/Country/name>                                  | 4     |
| <http://schema.org/ProfessionalService/name>                      | 1     |
| <http://purl.org/dc/terms/date>                                   | 15    |
| <http://schema.org/Airport/additionalType>                        | 44    |
| <http://schema.org/CafeOrCoffeeShop/url>                          | 1     |
| <http://schema.org/url>                                           | 1     |
| <http://schema.org/longitude>                                     | 1     |
| <http://schema.org/City/address>                                  | 25    |
| <http://schema.org/LocalBusiness/addressCountry>                  | 4     |
| <http://schema.org/LandmarksOrHistoricalBuildings/image>          | 27    |
| <http://schema.org/CafeOrCoffeeShop/aggregateRating>              | 1     |
| <http://schema.org/Museum/geo>                                    | 1     |
| <http://schema.org/StadiumOrArena/name>                           | 1     |
| <http://schema.org/Landform/image>                                | 28    |
| <http://schema.org/Landform/photos>                               | 1     |
| <http://schema.org/Landform/address>                              | 1     |
| <http://schema.org/SubwayStation/url>                             | 6     |
| <http://opengraphprotocol.org/schema/image>                       | 1     |
| <http://schema.org/PostalAddress/telephone>                       | 1     |
| <http://schema.org/Landform/geo>                                  | 1     |
| <http://schema.org/AggregateRating/bestRating>                    | 4     |
| <http://schema.org/Airport/photo>                                 | 1     |
| <http://schema.org/TouristAttraction/url>                         | 8     |
| <http://schema.org/StadiumOrArena/address>                        | 1     |
| <http://schema.org/BarOrPub/address>                              | 1     |
| <http://schema.org/Event/img>                                     | 1     |
| <http://schema.org/LocalBusiness/priceRange>                      | 2     |
| <http://schema.org/AdministrativeArea/image>                      | 13    |
| <http://schema.org/Continent/image>                               | 12    |
