-------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                  | country                | count |
=======================================================================================================================================================
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Canada"               | 4     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Japon"                | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Croatia"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Hongrie"              | 1     |
| <http://www.setlist.fm/setlists/brit-floyd-73dffaa9.html>                                                          | "Norway"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Fiji"                 | 3     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Portugal"             | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Australia"            | 20    |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Cameroon"             | 2     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Belgium"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Australie"            | 2     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Venezuela"            | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Senegal"              | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Malaysia"             | 1     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "Czech Republic"       | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Indonesia"            | 5     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Singapour"            | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Slovaquie"            | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Austria"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Rwanda"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Algeria"              | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Iceland"              | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Mauritius"            | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Pays-Bas"             | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Estonia"              | 1     |
| <http://www.labelsandlabeling.com/suppliers>                                                                       | "Brazil"               | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Turkey"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Belize"               | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Islande"              | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Saudi Arabia"         | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Liban"                | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "République tchèque"   | 1     |
| <http://www.labelsandlabeling.com/suppliers?companyid=1331>                                                        | "United States"        | 7     |
| <http://www.setlist.fm/setlists/while-she-sleeps-13d571e9.html>                                                    | "Spain"                | 3     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Gabon"                | 1     |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=> | "China"                | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Afrique du Sud"       | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Kenya"                | 7     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "El Salvador"          | 3     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Argentine"            | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Italy"                | 4     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Bulgaria"             | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Suède"                | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Singapore"            | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Madagascar"           | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Lettonie"             | 1     |
| <http://www.labelsandlabeling.com/suppliers?companyid=1331>                                                        | "Germany"              | 2     |
| <http://www.ticketnetwork.com/ticket/paris-saint-germain-events.aspx>                                              | "Switzerland"          | 1     |
| <http://www.labelsandlabeling.com/suppliers>                                                                       | "United Kingdom"       | 4     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "India"                | 8     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Croatie"              | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Germany"              | 5     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Netherlands"          | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Chili"                | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Estonie"              | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Japan"                | 2     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Royaume-Uni"          | 1     |
| <http://www.touristlink.com/europe/cat/local-interests.html>                                                       | "Iceland"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Russian Federation"   | 2     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Brazil"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Egypt"                | 2     |
| <http://www.setlist.fm/setlists/while-she-sleeps-13d571e9.html>                                                    | "Italy"                | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Mozambique"           | 4     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "United States"        | 9     |
| <http://www.labelsandlabeling.com/suppliers?companyid=1331>                                                        | "Singapore"            | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Spain"                | 7     |
| <http://www.erickson-foundation.org/institutes/>                                                                   | "Brazil"               | 4     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Morocco"              | 5     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Suisse"               | 2     |
