-----------------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                                                     | count |
=================================================================================================================================================================
| <http://www.touristlink.com/france/cat/services.html>                                                                                                 | 68    |
| <http://fr.nomao.com/10369924.html>                                                                                                                   | 5     |
| <http://www.easytobook.com/en/france/loire-atlantique/la-baule/royal-thalasso-barriere-9701/>                                                         | 20    |
| <http://patrick.pezier.com/>                                                                                                                          | 16    |
| <http://fr.nomao.com/10405519.html>                                                                                                                   | 5     |
| <http://www.ticketsinventory.com/concert/k-s-choice-tickets/>                                                                                         | 133   |
| <http://fr.nomao.com/2189846.html>                                                                                                                    | 41    |
| <http://fr.nomao.com/5136203.html>                                                                                                                    | 5     |
| <http://www.euronews.com/weather/europe/france/nantes/>                                                                                               | 13    |
| <http://www.europejazz.net/jazz-pages/organization/musicians-proposal-210>                                                                            | 23    |
| <http://le-portail.com/>                                                                                                                              | 182   |
| <http://fr.nomao.com/362630.html>                                                                                                                     | 24    |
| <http://www.portail-du-chocolat.fr/salon/salon-du-chocolat-nantes>                                                                                    | 12    |
| <http://fr.nomao.com/2196435.html>                                                                                                                    | 29    |
| <http://therapeutes.eu/categorie/hypnose-medicale/448>                                                                                                | 106   |
| <http://fr.nomao.com/10640171.html>                                                                                                                   | 33    |
| <https://www.annuairetel247.com/roussos-michel-nantes-bat-b-rue-soubzmain>                                                                            | 13    |
| <http://fr.nomao.com/1300139.html>                                                                                                                    | 53    |
| <http://www.touristlink.com/france/beryl-hotel/overview.html>                                                                                         | 16    |
| <http://www.touristlink.com/france/cat/tourist_essentials.html>                                                                                       | 76    |
| <http://fr.nomao.com/41640890.html>                                                                                                                   | 43    |
| <http://www.slideshare.net/plannerbird>                                                                                                               | 24    |
| <http://www.touristlink.com/france/pays-de-la-loire/cat/airports-bus-rail-stations.html>                                                              | 94    |
| <http://www.royal-de-luxe.com/es/>                                                                                                                    | 5     |
| <http://8tracks.com/heard>                                                                                                                            | 19    |
| <http://fr.nomao.com/15279163.html>                                                                                                                   | 5     |
| <http://therapeutes.eu/>                                                                                                                              | 118   |
| <http://fr.nomao.com/2165378.html>                                                                                                                    | 28    |
| <http://fr.nomao.com/361799.html>                                                                                                                     | 40    |
| <http://fr.nomao.com/41672754.html>                                                                                                                   | 23    |
| <http://www.slideshare.net/orka1000>                                                                                                                  | 22    |
| <http://fr.nomao.com/715374.html>                                                                                                                     | 39    |
| <http://www.slideshare.net/mfrpuysec>                                                                                                                 | 13    |
| <http://hypnose-ericksonienne.fr/categorie/therapeute/401>                                                                                            | 54    |
| <http://www.crestron.eu/?q=ru/i2p-partner/integrierte-partner-programm>                                                                               | 630   |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/saint-brevin-les-pins/camping-le-fief/>                                   | 56    |
| <http://8tracks.com/nadya-krishtalyova>                                                                                                               | 19    |
| <http://fr.nomao.com/15472520.html>                                                                                                                   | 39    |
| <http://fr.nomao.com/73584344.html>                                                                                                                   | 5     |
| <http://www.easytobook.com/en/france/loire-atlantique/la-baule/best-western-brittany-65785/>                                                          | 41    |
| <http://fr.nomao.com/4309670.html>                                                                                                                    | 5     |
| <http://www.last.fm/venue/8779867+l'Olympic>                                                                                                          | 143   |
| <http://www.crestron.eu/?q=en/i2p-partner/integrierte-partner-programm>                                                                               | 565   |
| <https://www.flickr.com/people/glouk/>                                                                                                                | 19    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/campanile-nantes-centre-saint-jacques-130369/?amu=280822278>                             | 41    |
| <http://www.ticketsinventory.com/soccer/paris-saint-germain-fc-tickets/parc-des-princes.php>                                                          | 261   |
| <http://fr.nomao.com/41520403.html>                                                                                                                   | 23    |
| <http://fr.nomao.com/4496227.html>                                                                                                                    | 5     |
| <http://www.touristlink.com/france/cat/airports.html>                                                                                                 | 277   |
| <http://fr.nomao.com/361558.html>                                                                                                                     | 36    |
| <http://www.cmigroupe.com/en/contact>                                                                                                                 | 1151  |
| <http://www.labelsandlabeling.com/suppliers>                                                                                                          | 289   |
| <https://www.annuairetel247.com/chevalier-annie-saint-sebastien-sur-loire-rue-douet>                                                                  | 13    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/beaujoire-61336/>                                                                        | 61    |
| <http://www.slideshare.net/lionelcavallo>                                                                                                             | 25    |
| <http://www.easytobook.com/en/france/loire-atlantique/le-pouliguen/le-mondes-33923/>                                                                  | 41    |
| <http://www.fabert.com/etablissement-prive/607/ECOLE-ET-COLLEGE-PRIVES-NOTRE-DAME-DU-BON-ACCUEIL.html>                                                | 75    |
| <http://fr.nomao.com/12418269.html>                                                                                                                   | 40    |
| <http://fr.nomao.com/10815106.html>                                                                                                                   | 23    |
| <http://www.ticketnetwork.com/ticket/disney-on-ice-events.aspx?page=2>                                                                                | 925   |
| <http://www.ticketnetwork.com/tickets/macklemore-tickets.aspx?page=2>                                                                                 | 308   |
| <http://www.toplien.fr/commerce-economie/services-entreprises/linguistique/orthographe/correcteur-professionnel-p11847.html>                          | 7     |
| <http://www.europejazz.net/jazz-pages/organization/c%C3%B4te-ouest-productions>                                                                       | 16    |
| <http://hypnose-ericksonienne.fr/categorie/psychologue/502>                                                                                           | 32    |
| <http://fr.nomao.com/41409058.html>                                                                                                                   | 5     |
| <http://terraform.fr/>                                                                                                                                | 5     |
| <http://fr.nomao.com/1149036.html>                                                                                                                    | 5     |
| <http://www.kappastore.fr/>                                                                                                                           | 199   |
| <http://www.acquia.com/nl/partners/showcase/smile>                                                                                                    | 5     |
| <http://www.sportcom.fr/sports-de-combat/sac-de-sport-boxe>                                                                                           | 10    |
| <http://www.scooter-system.tel/>                                                                                                                      | 35    |
| <https://www.scantool.net/scantool/distributors/>                                                                                                     | 764   |
| <http://www.carrepointu.com/points-de-vente>                                                                                                          | 337   |
| <http://www.ticketnetwork.com/ticket/world-events.aspx?page=2>                                                                                        | 926   |
| <http://www.labelsandlabeling.com/suppliers/m?tid_op=or&tid=186&title_1=&field_country_value=or&country=All&keys=>                                    | 265   |
| <http://www.slideshare.net/dednie>                                                                                                                    | 11    |
| <http://www.europejazz.net/jazz-pages/media/yolk-records>                                                                                             | 20    |
| <http://www.cmigroupe.com/en/p/cmi-defence>                                                                                                           | 10    |
| <http://www.ticketnetwork.com/tickets/disney-on-ice-tickets.aspx?page=4>                                                                              | 252   |
| <http://fr.nomao.com/64138834.html>                                                                                                                   | 33    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/prefailles/camping-eleovic/>                                              | 60    |
| <http://fr.nomao.com/10474645.html>                                                                                                                   | 33    |
| <http://hypnose-ericksonienne.fr/categorie/traitement-hypnose/565>                                                                                    | 144   |
| <http://www.ticketnetwork.com/ticket/disney-events.aspx?page=2>                                                                                       | 926   |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/appart-city-cap-affaires-le-sanitat-62372/>                                              | 69    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/pornic/camping-le-patisseau/?type=4>                                      | 59    |
| <http://www.touristlink.com/france/place-de-la-concorde/overview.html>                                                                                | 8     |
| <http://www.slideshare.net/makinacorpus>                                                                                                              | 22    |
| <https://www.annuairetel247.com/leboucher-sylvie-sautron-rue-grands-bois>                                                                             | 13    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/saint-brevin-les-pins/camping-le-fief/?q=&type=10>                        | 56    |
| <http://www.marcospecialties.com/ordering-policies/international-ordering/?yr=2012&month=3&dy=>                                                       | 113   |
| <http://www.ticketnetwork.com/ticket/ryan-lewis-events.aspx?page=2>                                                                                   | 182   |
| <http://www.thouare.fr/vie-quotidienne/sante>                                                                                                         | 5     |
| <http://fr.nomao.com/1104970.html>                                                                                                                    | 5     |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/saint-gildas-des-bois/camping-de-langatre/>                               | 9     |
| <http://www.slideshare.net/yannickprie>                                                                                                               | 25    |
| <http://www.slideshare.net/manuelpinardmedialibs>                                                                                                     | 26    |
| <http://www.ticketnetwork.com/tickets/disney-on-ice-tickets.aspx>                                                                                     | 1002  |
| <http://fr.nomao.com/12871860.html>                                                                                                                   | 36    |
| <http://fr.nomao.com/15657312.html>                                                                                                                   | 5     |
| <http://www.ticketnetwork.com/ticket/one-world-theatre-events.aspx?vid=1016&page=2>                                                                   | 501   |
| <http://fr.nomao.com/12368861.html>                                                                                                                   | 40    |
| <http://www.thouare.fr/projets-de-ville/terrain-de-football-synthetique>                                                                              | 24    |
| <http://www.touristlink.com/france/pays-de-la-loire/cat/airports.html>                                                                                | 14    |
| <http://www.ticketnetwork.com/ticket/disney-events.aspx?page=3>                                                                                       | 1001  |
| <http://fr.nomao.com/10258956.html>                                                                                                                   | 36    |
| <http://fr.nomao.com/15385778.html>                                                                                                                   | 33    |
| <http://fr.nomao.com/15675742.html>                                                                                                                   | 5     |
| <http://www.toplien.fr/maison/decoration/objet-artisanal/afrique/decoration-africaine-objets-deco-africains-uniques-d5163.html>                       | 30    |
| <http://fr.nomao.com/12881410.html>                                                                                                                   | 39    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/la-bernerie-en-retz/camping-les-ecureuils/?type=10>                       | 60    |
